state,county_name,precinct_name,precinct_id,name,address
VA,,133 - DANBURY,133,KINGS GLEN ELEMENTARY SCHOOL,5401 DANBURY FOREST DR SPRINGFIELD VA 22151
VA,,629 - SOUTH COUNTY,629,SOUTH COUNTY MIDDLE SCHOOL,8700 LAUREL CREST LORTON VA 22079
VA,,104 - CHAPEL,104,NANCY F SPRAGUE TECH CENTER,4414 Holborn Ave Annandale VA  22003-4551
VA,,605 - HOLLYWOOD,605,EAST SUFFOLK RECREATION CENTER,138 S 6TH STREET SUFFOLK VA 23434
VA,,707 - SEVEN HUNDRED SEVEN,707,CITY HALL EAST,701 N 25th St Richmond VA  23223-6539
VA,,103 - CHURCH ROAD,103,MIDWAY ELEMENTARY SCHOOL,5511 Midway Rd Church Road VA  23833-3310
VA,,503 - RENAN,503,RENAN VOLUNTEER FIRE DEPT,405 STRAIGHTSTONE ROAD GRETNA VA 24557
VA,,117 - KECOUGHTAN,117,KECOUGHTAN HIGH SCHOOL,522 Woodland Rd Hampton VA  23669-1762
VA,,401 - CENTRAL,401,JAMES MOORE TERMINAL BUILDING,1450 AVIATION ROAD TAPPAHANNOCK VA 22560
VA,,077 - BROOKWOOD,077,PLAZA ANNEX,641 Carriage Hill Road Virginia Beach VA 23452
VA,,402 - HAYSI,402,HAYSI HIGH SCHOOL,196 Tiger Circle Haysi VA 24256
VA,,203 - HODGESVILLE,203,ROCKY MOUNT ELEMENTARY SCHOOL,555 School Board Rd Rocky Mount VA  24151-8604
VA,,113 - ONE HUNDRED THIRTEEN,113,ALBERT H HILL SCHOOL,3400 Patterson Ave Richmond VA  23221-2310
VA,,301 - SOUTH,301,EPHESUS BAPTIST CHURCH,287 EPHESUS CHURCH ROAD Dunnsville VA 22454
VA,,009 - SOUTH SIDE HILLS,009,First Evangelical Methodist Church,1920 Lucas Street Salem VA  24153-5939
VA,,010 - TEN,010,PORT NORFOLK RECREATION CENTER,432 BROAD STREET PORTSMOUTH VA  23707-2003
VA,,106 - HERITAGE,106,BRADDOCK ELEMENTARY SCHOOL,7825 Heritage Dr Annandale VA  22003-5312
VA,,613 - WESTGATE,613,WASHINGTON MILL ELEM SCHOOL,9100 Cherrytree Dr Alexandria VA  22309-2933
VA,,109 - LITTLE RUN,109,LITTLE RUN ELEMENTARY SCHOOL,4511 OLLEY LANE Fairfax VA 22032
VA,,802 - MELFA,802,Melfa Firehouse,28328 Hatton St Melfa VA  23410-3707
VA,,502 - FORT BLACKMORE,502,FT BLACKMORE ELMENTARY SCHOOL,214 BIG STONEY CREEK RD Ft Blackmore VA 24250
VA,,502 - ARTRIP,502,ARTRIP,5956 The Lake Road CLINTWOOD VA 24228
VA,,201 - PRECINCT 2-A,201,HICKSFORD POLLING PLACE,1775 Dry Bread Rd Emporia VA  23847-5700
VA,,213 - VIENNA #1,213,CUNNINGHAM PARK ELEM SCHOOL,1001 Park St SE Vienna VA  22180-6606
VA,,108 - KINGS PARK,108,KINGS PARK ELEMENTARY SCHOOL,5400 Harrow Way Springfield VA  22151-1327
VA,,504 - VINT HILL,504,C HUNTER RITCHIE ELEMENTARY SCHOOL,4416 Broad Run Church Rd Warrenton VA  20187-2535
VA,,109 - PHENIX,109,NEIGHBORHOOD RESOURCE CENTER,2315 Victoria Blvd Hampton VA  23661-2935
VA,,201 - COVENTRY,201,COVENTRY ELEMENTARY SCHOOL,200 Owen Davis Blvd Yorktown VA  23693-4519
VA,,209 - RESTON #2,209,FOREST EDGE ELEMENTARY SCHOOL,1501 Becontree Ln Reston VA  20190-4001
VA,,201 - NORTH,201,ANTIOCH BAPTIST CHURCH,454 LLOYDS ROAD Champlain VA 22438
VA,,616 - GUNSTON,616,GUNSTON ELEMENTARY SCHOOL,10100 Gunston Rd Lorton VA  22079-2208
VA,,043 - PLEASANT CROSSING,043,GREAT BRIDGE UNITED METHODIST CHURCH,201 Stadium Dr Chesapeake VA  23322-4135
VA,,110 - NORTH SPRINGFIELD,110,N SPRINGFIELD ELEM SCHOOL,7602 Heming Ct Springfield VA  22151-2618
VA,,302 - EAST STONE GAP,302,POWELL VALLEY PRIMARY SCHOOL,2945 2nd Ave E Big Stone Gap VA  24219-3801
VA,,011 - CAPE HENRY,011,A R E BUILDING,67TH AND ATLANTIC AVENUE VIRGINIA BEACH VA 23451
VA,,101 - CHILDREY,101,CHILDREY BAPTIST CHURCH,1224 CHILDREY CHURCH ROAD Nathalie VA 24577
VA,,202 - SUTHERLAND,202,Sutherland Elementary School,6000 R B Pamplin Drive Sutherland VA 23885
VA,,058 - EXPRESSWAY,058,RIVER OAK CHURCH,255 Great Bridge Blvd. Chesapeake VA 23320
VA,,101 - GREATER TAPPAHANNOCK,101,TAPPAHANNOCK-ESSEX VOL FIRE DEPT,620 AIRPORT ROAD TAPPAHANNOCK VA 22560
VA,,202 - PENHOOK,202,PENHOOK METHODIST CHURCH,29 Morgans Fork Rd Penhook VA  24137-1111
VA,,301 - WEST DANTE,301,BRUSHY RIDGE COMMUNITY CENTER,5562 Brushy Ridge Road Nora VA 24272
VA,,101 - WOODBROOK,101,WOODBROOK ELEMENTARY SCHOOL,100 Woodbrook Dr Charlottesville VA  22901-1133
VA,,204 - SECOND WARD FOURTH PRECINCT,204,FAIRVIEW CHRISTIAN CHURCH,2701 Campbell Ave Lynchburg VA  24501-4303
VA,,128 - CARDINAL,128,CARDINAL FOREST ELEM SCHOOL,8600 Forrester Blvd Springfield VA  22152-1012
