state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
IA,2012-11-06,county,Butler,8-NH,8-NH,NEW HARTFORD COMMUNITY CENTER,"303 BROADWAY ST, NEW HARTFORD IA 50660"
IA,2012-11-06,county,Butler,3-DU,3-DU,"AMERICAN LEGION HALL, DUMONT","508 MAIN ST, DUMONT IA 50625"
IA,2012-11-06,county,Butler,4-AL,4-AL,"LOWER LEVEL, COURTHOUSE","428 6TH ST, ALLISON IA 50602"
IA,2012-11-06,county,Butler,5-AP,5-AP,APLINGTON COMMUNITY CENTER,"929 PARRIOTT ST, APLINGTON IA 50604"
IA,2012-11-06,county,Butler,1-GR,1-GR,GREENE COMMUNITY CENTER,"202 W SOUTH ST, GREENE IA 50636"
IA,2012-11-06,county,Butler,7-PB,7-PB,PARKERSBURG VETERANS MEMORIAL BUILDING,"102 COLFAX ST, PARKERSBURG IA 50665"
IA,2012-11-06,county,Butler,6-SR,6-SR,"BOYD BUILDING, SHELL ROCK","305 S CHERRY ST, SHELL ROCK IA 50670"
IA,2012-11-06,county,Butler,2-CL,2-CL,CLARKSVILLE AMVET BUILDING,"102 E GREENE ST, CLARKSVILLE IA 50619"
IA,2012-11-06,county,Calhoun,CEDAR,Cedar,SOMERS COMMUNITY BUILDING,"702 6TH AVE, SOMERS IA 50586"
IA,2012-11-06,county,Calhoun,GREENFI,Greenfield & Lincoln 2,KNIERIM CITY HALL,"211 CENTER AVE, KNIERIM IA 50552"
IA,2012-11-06,county,Calhoun,UNION,Union,LOHRVILLE JJ HANDS LIBRARY,"609 2ND ST, LOHRVILLE IA 51453"
IA,2012-11-06,county,Calhoun,READING,Reading,HOLY TRINITY LUTHERAN CHURCH,"805 GARFIELD AVE, FARNHAMVILLE IA 50538"
IA,2012-11-06,county,Calhoun,SHERMAN,Sherman,TWIN LAKES CHRISTIAN CENTER,"7718 TWIN LAKES RD, MANSON IA 50563"
IA,2012-11-06,county,Calhoun,CNLGTGA,Center Logan Twin Lakes Garfield & Lake Creek,COURTHOUSE BASEMENT NORTHWEST ROOM,"416 FOURTH ST, ROCKWELL CITY IA 50579"
