state,election_date,jurisdiction_type,county_name,precinct_name,name,address,polling_location_type
PA,2012-11-06,county,,MAXATAWNY TWP - 3RD PRECINCT,KUTZTOWN UNIVERSITY KEYSTONE HALL,CAMPUS DR KUTZTOWN PA 19530,polling_location
PA,2012-11-06,county,,UPPER DUBLIN 2-1,TRINITY LUTHERAN CHURCH FT WASHINGTON,235 SUMMIT AVE FORT WASHINGTON PA 19034,polling_location
PA,2012-11-06,county,,HIGHLAND TWP.,HIGHLAND TWP MUNICIPAL BLDG,3860 MILLCREEK RD CLARION PA,polling_location
PA,2012-11-06,county,,UPPER PROVIDENCE M-1,VETERANS OF FOREIGN WARS POST,730 S FOURTH AVE ROYERSFORD PA 19468,polling_location
PA,2012-11-06,county,,UPPER DUBLIN 7-2,OUR LADY OF MERCY CHURCH SCHOOL,29 CONWELL DR MAPLE GLEN PA 19002,polling_location
PA,2012-11-06,county,,UPPER MERION KING 2,TEMPLE BRITH ACHIM SYNAGOGUE,481 S GULPH RD KING OF PRUSSIA PA 19406,polling_location
PA,2012-11-06,county,,LIMERICK 2,LIMERICK TOWNSHIP BUILDING,646 W RIDGE PIKE ROYERSFORD PA 19468,polling_location
PA,2012-11-06,county,,UPPER DUBLIN 6-1,JARRETTOWN ELEMENTARY SCHOOL,1520 LIMEKILN PIKE DRESHER PA 19025,polling_location
PA,2012-11-06,county,,BETHEL PARK 07 03,BETHEL PRESBY CHURCH AUD,2999 BETHEL CHURCH RD BETHEL PARK PA,polling_location
PA,2012-11-06,county,,UPPER DUBLIN 1-2,UPPER DUBLIN LUTHERAN CHURCH,411 SUSQUEHANNA RD AMBLER PA 19002,polling_location
PA,2012-11-06,county,,MAXATAWNY TWP - 2ND PRECINCT,HOPE LUTHERAN CHURCH,550 FLEETWOOD RD BOWERS PA 19511,polling_location
PA,2012-11-06,county,,ERIE THIRD WARD 2ND DISTRICT,SALVATION ARMY CORPS,1020 LIBERTY ST ERIE PA 16502,polling_location
PA,2012-11-06,county,,WARWICK TWP NEWPORT WEST,GRACE BRETHREN CHURCH OF LITITZ,501 W LINCOLN AVE LITITZ PA 17543,polling_location
PA,2012-11-06,county,,NORTH HUNTINGDON TWP3RD WARD 1ST PCT,SUNSET VALLEY ELEMENTARY SCHOOL (COMMUNITY ROOM),11605 DICKENS DR N HUNTINGDON PA 15642,polling_location
PA,2012-11-06,county,,UPPER DUBLIN 6-2,SUPPLEE PRESBYTERIAN CHURCH,855 WELSH RD MAPLE GLEN PA 19002,polling_location
PA,2012-11-06,county,,PLEASANT HL 00 06,PLEASANT HILLS MUNI BLDG COM RM,410 E BRUCETON RD PLEASANT HL PA,polling_location
PA,2012-11-06,county,,WILKINSBURG 03 05,ST STEPHEN'S EPISCOPAL CHURCH,600 PITT ST WILKINSBURG PA,polling_location
PA,2012-11-06,county,,WARWICK TWP WOODCREST,ST JAMES CATHOLIC CHURCH,505 WOODCREST AVE LITITZ PA 17543,polling_location
PA,2012-11-06,county,,LOWER SOUTHAMPTON TWP WEST 5,JOSEPH FERDERBAR ELEMENTARY,300 HEIGHTS LN FEASTERVILLE PA 19053,polling_location
PA,2012-11-06,county,,UPPER MERION SWEDESBURG,SWEDESBURG VOLUNTEER FIRE COMPANY,789 JEFFERSON ST SWEDESBURG PA 19405,polling_location
PA,2012-11-06,county,,CHESTER CITY 2ND WARD 4TH PRECINCT,SUN VILLAGE MAINTENANCE GARAGE,900 JOHNSON ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,LOWER SAUCON TWSP - 1,SAUCON VALLEY MIDDLE SCHOOL,"POLK VALLEY RD ONTO FLAG CIRCLE, DOOR #20 HELLERTOWN PA 18055",polling_location
PA,2012-11-06,county,,UPPER MORELAND 5-1,UPPER MORELAND SCHOOL ADMIN BLDG,2900 TERWOOD RD WILLOW GROVE PA 19090,polling_location
PA,2012-11-06,county,,MCCANDLESS 04 03,PGH CHRISTIAN CHINESE CHURCH,8711 OLD PERRY HWY PITTSBURGH PA 15237,polling_location
PA,2012-11-06,county,,UPPER MERION BELMONT 4,UPPER MERION BAPTIST CHURCH,585 GENERAL STEUBEN RD KING OF PRUSSIA PA 19406,polling_location
PA,2012-11-06,county,,FRANKLIN TOWNSHIP,UPPER SPRUCE CREEK PRESBY CHURCH,2620 SPRUCE CREEK RD SPRUCE CREEK PA 16683,polling_location
