state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
PA,2018-11-06,county,ALLEGHENY,1720010,MOON 00 10,TOWNSHIP COUNCIL CHAMBERS,"1000 BEAVER GRADE RD, MOON, PA"
PA,2018-11-06,county,ALLEGHENY,1720011,MOON 00 11,ALLARD SCHOOL,"170 SHAFER RD, MOON, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720012,MOON 00 12,BROOKS ELEMENTARY CAFE RR PARK LOT ENT,"1720 HASSAM RD, MOON, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720013,MOON 00 13,ALLARD SCHOOL,"170 SHAFER RD, MOON, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1730101,MT LEBANON 01 01,THOMAS JEFFERSON MIDDLE SCHOOL,"11 MOFFETT ST, MT LEBANON, PA"
PA,2018-11-06,county,ALLEGHENY,1730102,MT LEBANON 01 02,LINCOLN ELEMENTARY SCHOOL,"2 RALSTON PL, MT LEBANON, PA"
PA,2018-11-06,county,ALLEGHENY,1730103,MT LEBANON 01 03,LINCOLN ELEMENTARY SCHOOL,"2 RALSTON PL, MT LEBANON, PA"
PA,2018-11-06,county,ALLEGHENY,1730104,MT LEBANON 01 04,LINCOLN ELEMENTARY SCHOOL,"2 RALSTON PL, MT LEBANON, PA"
PA,2018-11-06,county,ALLEGHENY,1730105,MT LEBANON 01 05,LINCOLN ELEMENTARYSCHOOL,"2 RALSTON PL, MT LEBANON, PA"
PA,2018-11-06,county,ALLEGHENY,1730106,MT LEBANON 01 06,JEFFERSON ELEM SCH GYM ENT #11,"11 MOFFETT ST, MT LEBANON, PA"
PA,2018-11-06,county,ALLEGHENY,1730107,MT LEBANON 01 07,LINCOLN ELEMENTARY SCHOOL,"2 RALSTON PL, MT LEBANON, PA"
PA,2018-11-06,county,ALLEGHENY,1730201,MT LEBANON 02 01,MARKHAM SCHOOL BOYS GYM,"165 CRESCENT DR, MT LEBANON, PA"
